ID,ACCOUNT,OPEN_BAL,CURR_BAL,OPENDATE,ACCTNO
ID12781,SAVE,128.81,178.39,25/7/97,SA 12781 87199
ID12781,CURRENT,76.1687,-78.37,22/4/97,CU 12781 58543
ID12782,SAVE,343.371,369.97,3/9/97,SA 12782 55067
ID12782,CURRENT,295.271,391.79,13/2/97,CU 12782 50491
ID12783,CURRENT,1099.47,1137.28,8/2/97,CU 12783 30140
ID12784,SAVE,146.488,154.4,23/9/97,SA 12784 56846
ID12784,CURRENT,384.31,479.75,27/3/97,CU 12784 94533
ID12785,SAVE,260.808,343.17,7/4/97,SA 12785 65561
ID12785,CURRENT,2042.73,2135.1,10/8/97,CU 12785 70302
ID12786,CURRENT,364.473,-366.82,22/12/97,CU 12786 94228
ID12787,CURRENT,2826.07,2829.54,28/4/97,CU 12787 94371
ID12788,SAVE,315.435,364.18,5/5/97,SA 12788 57778
ID12788,CURRENT,485.961,539.5,16/1/97,CU 12788 94999
ID12789,SAVE,1512.19,1586,5/9/97,SA 12789 24052
ID12789,CURRENT,212.741,226.09,28/2/97,CU 12789 79561
ID12790,CURRENT,24.8802,84.18,17/2/97,CU 12790 34621
ID12790,CURRENT,84.2356,133.36,9/3/97,CU 12790 90568
ID12791,SAVE,73.423,168.51,20/11/97,SA 12791 30706
ID12791,CURRENT,170.113,174.54,20/8/97,CU 12791 36704
ID12792,SAVE,1024.97,1043.92,26/9/97,SA 12792 96005
ID12792,CURRENT,1096.87,1112.11,3/10/97,CU 12792 44630
ID12793,SAVE,1239,1337.2,13/5/97,SA 12793 17564
ID12793,CURRENT,156.486,184.1,18/11/97,CU 12793 36234
ID12794,SAVE,156.001,230.29,26/8/97,SA 12794 70288
ID12795,SAVE,119.696,158.9,7/3/97,SA 12795 80051
ID12795,CURRENT,85.9798,185.46,9/10/97,CU 12795 85444
